i,ui
0,56.4601
1,56.387
2,56.3139
3,56.2409
4,56.1678
5,56.0947
6,56.0217
7,55.9486
8,55.8755
9,55.8025
10,55.7294
11,55.6563
12,55.5833
13,55.5102
14,55.4371
15,55.3641
16,55.291
17,55.2179
18,55.1449
19,55.0718
20,54.9987
21,54.9257
22,54.8526
23,54.7795
24,54.7065
25,54.6334
26,54.5603
27,54.4873
28,54.4142
29,54.3411
30,54.2681
31,54.195
32,54.1219
33,54.0489
34,53.9758
35,53.9028
36,53.8297
37,53.7566
38,53.6836
39,53.6105
40,53.5374
41,53.4644
42,53.3913
43,53.3182
44,53.2452
45,53.1721
46,53.099
47,53.026
48,52.9529
49,52.8798
50,52.8068
51,52.7337
52,52.6606
53,52.5876
54,52.5145
55,52.4414
56,52.3684
57,52.2953
58,52.2222
59,52.1492
60,52.0761
61,52.003
62,51.93
63,51.8569
64,51.7838
65,51.7108
66,51.6377
67,51.5646
68,51.4916
69,51.4185
70,51.3454
71,51.2724
72,51.1993
73,51.1262
74,51.0532
75,50.9801
76,50.907
77,50.834
78,50.7609
79,50.6878
80,50.6148
81,50.5417
82,50.4687
83,50.3956
84,50.3225
85,50.2495
86,50.1764
87,50.1033
88,50.0303
89,49.9572
90,49.8841
91,49.8111
92,49.738
93,49.6649
94,49.5919
95,49.5188
96,49.4457
97,49.3727
98,49.2996
99,49.2265
100,49.1535
101,49.0804
102,49.0073
103,48.9343
104,48.8612
105,48.7881
106,48.7151
107,48.642
108,48.5689
109,48.4959
110,48.4228
111,48.3497
112,48.2767
113,48.2036
114,48.1305
115,48.0575
116,47.9844
117,47.9113
118,47.8383
119,47.7652
120,47.6921
121,47.6191
122,47.546
123,47.4729
124,47.3999
125,47.3268
126,47.2537
127,47.1807
128,47.1076
129,47.0346
130,46.9615
131,46.8884
132,46.8154
133,46.7423
134,46.6692
135,46.5962
136,46.5231
137,46.45
138,46.377
139,46.3039
140,46.2308
141,46.1578
142,46.0847
143,46.0116
144,45.9386
145,45.8655
146,45.7924
147,45.7194
148,45.6463
149,45.5732
150,45.5002
151,45.4271
152,45.354
153,45.281
154,45.2079
155,45.1348
156,45.0618
157,44.9887
158,44.9156
159,44.8426
160,44.7695
161,44.6964
162,44.6234
163,44.5503
164,44.4772
165,44.4042
